State	Status
Alabama	Not Visited
Alaska	Not Visited
Arkansas	Visited
Arizona	Not Visited
California	Visited
Colorado	Visited
Connecticut	Not Visited
Delaware	Visited
Florida	Visited
Georgia	Visited
Hawaii	Not Visited
Iowa	Visited
Idaho	Not Visited
Illinois	Visited
Indiana	Visited
Kansas	Visited
Kentucky	Visited
Louisiana	Not Visited
Maine	Visited
Maryland	Visited
Massachusetts	Visited
Michigan	Visited
Minnesota	Visited
Missouri	Visited
Mississippi	Not Visited
Montana	Not Visited
North Carolina	Visited
North Dakota	Not Visited
Nebraska	Not Visited
New Hampshire	Visited
New Jersey	Not Visited
New Mexico	Not Visited
Nevada	Not Visited
New York	Visited
Ohio	Lived
Oklahoma	Not Visited
Oregon	Not Visited
Pennsylvania	Visited
Rhode Island	Not Visited
South Carolina	Visited
South Dakota	Not Visited
Tennessee	Visited
Texas	Visited
Utah	Not Visited
Virginia	Visited
Vermont	Visited
Washington	Visited
Wisconsin	Lived
West Virginia	Not Visited
Wyoming	Not Visited
